fb_taxon_id	taxon_name	taxon_uri	phylum	class	order	family	genus	sl_mm	sl_sex	sl_ref	tl_mm	tl_sex	tl_ref	fl_mm	fl_sex	fl_ref	dw_mm	dw_sex	dw_ref	max_weight_g	max_weight_ref	benthic	pelagic	benthopelagic	bathypelagic	pelagic-neritic	pelagic-oceanic	demersal	reef-associated	anadromous	catadromous	amphidromous	potamodromous	limnodromous	oceanodromous	non-migratory	freshwater	brackish	marine	use_fisheries	use_aquaculture	use_gamefish	use_bait	use_aquarium	use_ref	phylo_div	phylo_div_ref	troph_level	troph_level_se	troph_level_ref	resil	resil_ref	resil_K	resil_tm	resil_tmax	resil_fec	vulnerab	vulnerab_ref	price	price_ref	main_ref
10273	Polymixia berndti	http://www.fishbase.org/summary/speciessummary.php?id=10273	Chordata	Actinopterygii	Polymixiiformes	Polymixiidae	Polymixia	475	male/unsexed	10919																			1										1	of potential interest						0.5029	82805	4.0	0.67	69278	1.4 - 4.4 years	120179					69	59153	unknown	80766	6624
51559	Enneapterygius unimaculatus	http://www.fishbase.org/summary/speciessummary.php?id=51559	Chordata	Actinopterygii	Perciformes	Tripterygiidae	Enneapterygius	31	male/unsexed	27223																		1											1							0.5000	82805	3.1	0.3	69278	less than 15 months	120179					10	59153			27223
59408	Priolepis triops	http://www.fishbase.org/summary/speciessummary.php?id=59408	Chordata	Actinopterygii	Perciformes	Gobiidae	Priolepis																						1										1							0.5000	82805	3.2	0.3	69278	less than 15 months	120179					10	59153			10753
62316	Simpsonichthys carlettoi	http://www.fishbase.org/summary/speciessummary.php?id=62316	Chordata	Actinopterygii	Cyprinodontiformes	Rivulidae	Simpsonichthys																	1													1									0.5000	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			94796
9334	Dasyatis tortonesei	http://www.fishbase.org/summary/speciessummary.php?id=9334	Chordata	Elasmobranchii	Rajiformes	Dasyatidae	Dasyatis																					1											1							0.5002	82805	4.0	0.62	69278	more than 14 years	120179				6-9	68	59153			3169
8272	Bodianus eclancheri	http://www.fishbase.org/summary/speciessummary.php?id=8272	Chordata	Actinopterygii	Perciformes	Labridae	Bodianus				610	male/unsexed	5592																1										1	of no interest				commercial		0.5000	82805	2.7	0.24	69278	4.5 - 14 years	120179					55	59153			5590
49105	Cobitis bilineata	http://www.fishbase.org/summary/speciessummary.php?id=49105	Chordata	Actinopterygii	Cypriniformes	Cobitidae	Cobitis	100																1													1									0.5000	82805	3.3	0.4	69278	1.4 - 4.4 years	120179		2			26	59153			59043
7065	Artedidraco mirus	http://www.fishbase.org/summary/speciessummary.php?id=7065	Chordata	Actinopterygii	Perciformes	Artedidraconidae	Artedidraco				125	male/unsexed	5181															1											1							0.5156	82805	3.2	0.43	69278	1.4 - 4.4 years	120179					10	59153			5181
14395	Synaptura commersonnii	http://www.fishbase.org/summary/speciessummary.php?id=14395	Chordata	Actinopterygii	Pleuronectiformes	Soleidae	Synaptura				320	male/unsexed	30573															1				1						1	1	commercial					3505	0.5156	82805	3.5	0.44	69278	1.4 - 4.4 years	120179					35	59153	very high	80766	11298
12982	Rogadius patriciae	http://www.fishbase.org/summary/speciessummary.php?id=12982	Chordata	Actinopterygii	Scorpaeniformes	Platycephalidae	Rogadius				270	male/unsexed	9790															1								1			1	minor commercial						0.5078	82805	3.8	0.6	69278	less than 15 months	120179					27	59153	high	80766	9140
7710	Hyporhamphus affinis	http://www.fishbase.org/summary/speciessummary.php?id=7710	Chordata	Actinopterygii	Beloniformes	Hemiramphidae	Hyporhamphus	380	male/unsexed	54980																			1										1						30573	0.5000	82805	3.5	0.48	69278	less than 15 months	120179					29	59153			10943
44	Aspitrigla cuculus	http://www.fishbase.org/summary/speciessummary.php?id=44	Chordata	Actinopterygii	Scorpaeniformes	Triglidae	Aspitrigla				500	male/unsexed	3397															1											1	minor commercial					4931	0.5010	82805	3.8	0.1	69278	1.4 - 4.4 years	120179	0.3				46	59153	very high	80766	3687
53613	Membras vagrans	http://www.fishbase.org/summary/speciessummary.php?id=53613	Chordata	Actinopterygii	Atheriniformes	Atherinopsidae	Membras																1			1													1							0.5156	82805	3.2	0.2	69278	less than 15 months	120179					17	59153			27116
49317	Crapatalus novaezelandiae	http://www.fishbase.org/summary/speciessummary.php?id=49317	Chordata	Actinopterygii	Perciformes	Leptoscopidae	Crapatalus																					1											1							0.6562	82805	3.3	0.4	69278		120179					10	59153			5755
60591	Chaunax flammeus	http://www.fishbase.org/summary/speciessummary.php?id=60591	Chordata	Actinopterygii	Lophiiformes	Chaunacidae	Chaunax																																1							0.5000	82805	4.1	0.7	69278		120179					16	59153			94130
51697	Oxyurichthys heisei	http://www.fishbase.org/summary/speciessummary.php?id=51697	Chordata	Actinopterygii	Perciformes	Gobiidae	Oxyurichthys	61.2																				1											1							0.5000	82805	3.5	0.5	69278	less than 15 months	120179					14	59153			28614
51005	Hyphessobrycon luetkenii	http://www.fishbase.org/summary/speciessummary.php?id=51005	Chordata	Actinopterygii	Characiformes	Characidae	Hyphessobrycon				69	male/unsexed	38376											1									1				1									0.5000	82805	2.8	0.3	69278		120179					10	59153			598
62901	Austrolebias salviai	http://www.fishbase.org/summary/speciessummary.php?id=62901	Chordata	Actinopterygii	Cyprinodontiformes	Rivulidae	Austrolebias																	1													1																								
2348	Melanochromis melanopterus	http://www.fishbase.org/summary/speciessummary.php?id=2348	Chordata	Actinopterygii	Perciformes	Cichlidae	Melanochromis	114	male/unsexed	5663																		1									1							commercial	5595	0.5000	82805	3.4	0.5	69278	1.4 - 4.4 years	120179					15	59153			5663
2495	Eleotris vittata	http://www.fishbase.org/summary/speciessummary.php?id=2495	Chordata	Actinopterygii	Perciformes	Eleotridae	Eleotris				265	male/unsexed	6802															1				1					1	1	1	of no interest					9541	0.5000	82805	3.8	0.3	69278	1.4 - 4.4 years	120179					35	59153			57413
61140	Eustomias metamelas	http://www.fishbase.org/summary/speciessummary.php?id=61140	Chordata	Actinopterygii	Stomiiformes	Stomiidae	Eustomias																		1														1							0.5000	82805	4.3	0.8	69278	less than 15 months	120179					27	59153			46206
9957	Cobitis calderoni	http://www.fishbase.org/summary/speciessummary.php?id=9957	Chordata	Actinopterygii	Cypriniformes	Cobitidae	Cobitis																	1													1			of no interest					26100	0.5000	82805	3.3	0.4	69278	1.4 - 4.4 years	120179		1			39	59153			59043
754	Maurolicus muelleri	http://www.fishbase.org/summary/speciessummary.php?id=754	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Maurolicus				80	male/unsexed	35388												1														1	minor commercial					4054	0.5000	82805	3.0	0.0	69278	1.4 - 4.4 years	120179	0.88			200-500; tm=1	13	59153	unknown	80766	5204
10982	Centropyge hotumatua	http://www.fishbase.org/summary/speciessummary.php?id=10982	Chordata	Actinopterygii	Perciformes	Pomacanthidae	Centropyge				80	male/unsexed	4858																1							1			1					commercial		0.5000	82805	2.8	0.3	69278	less than 15 months	120179					26	59153			48391
14820	Apogon pallidofasciatus	http://www.fishbase.org/summary/speciessummary.php?id=14820	Chordata	Actinopterygii	Perciformes	Apogonidae	Apogon	70	male/unsexed	28618																			1										1							0.5000	82805	3.5	0.5	69278	less than 15 months	120179					10	59153			7300
9553	Synodontis cuangoana	http://www.fishbase.org/summary/speciessummary.php?id=9553	Chordata	Actinopterygii	Siluriformes	Mochokidae	Synodontis				268	male/unsexed	3202											1													1									0.5000	82805	2.9	0.3	69278	less than 15 months	120179					25	59153			3202
63895	Hemibrycon divisorensis	http://www.fishbase.org/summary/speciessummary.php?id=63895	Chordata	Actinopterygii	Characiformes	Characidae	Hemibrycon	81.6															1														1									0.5000	82805	3.0	0.4	69278		120179					10	59153			85819
56834	Bregmaceros neonectabanus	http://www.fishbase.org/summary/speciessummary.php?id=56834	Chordata	Actinopterygii	Gadiformes	Bregmacerotidae	Bregmaceros	54	male/unsexed	34847													1			1													1							0.5001	82805	3.1	0.3	69278		120179					10	59153			34847
50269	Oryzias uwai	http://www.fishbase.org/summary/speciessummary.php?id=50269	Chordata	Actinopterygii	Beloniformes	Adrianichthyidae	Oryzias	16	male/unsexed	27658														1													1									0.5000	82805	3.0	0.4	69278	4.5 - 14 years	120179					10	59153			27658
9633	Synodontis unicolor	http://www.fishbase.org/summary/speciessummary.php?id=9633	Chordata	Actinopterygii	Siluriformes	Mochokidae	Synodontis				241	male/unsexed	3202											1													1									0.5000	82805	2.9	0.3	69278	less than 15 months	120179					24	59153			3202
1406	Lutjanus erythropterus	http://www.fishbase.org/summary/speciessummary.php?id=1406	Chordata	Actinopterygii	Perciformes	Lutjanidae	Lutjanus							816	male/unsexed	5739													1										1	commercial	commercial				6390;40297;5193	0.5000	82805	4.5	0.7	69278	1.4 - 4.4 years	120179	0.21-0.39	4	8	5 million	37	59153	high	80766	55
7758	Homaloptera hoffmanni	http://www.fishbase.org/summary/speciessummary.php?id=7758	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Homaloptera	76	male/unsexed	35840																		1									1																								
1201	Scorpaena plumieri	http://www.fishbase.org/summary/speciessummary.php?id=1201	Chordata	Actinopterygii	Scorpaeniformes	Scorpaenidae	Scorpaena				450	male/unsexed	5288							1550	40637								1										1	minor commercial				commercial	3812;49392	0.5000	82805	3.6	0.3	69278	4.5 - 14 years	120179					57	59153	low	80766	35505
57935	Chriolepis vespa	http://www.fishbase.org/summary/speciessummary.php?id=57935	Chordata	Actinopterygii	Perciformes	Gobiidae	Chriolepis																					1											1							0.5001	82805	3.2	0.3	69278	less than 15 months	120179					10	59153			26938
2326	Labeotropheus trewavasae	http://www.fishbase.org/summary/speciessummary.php?id=2326	Chordata	Actinopterygii	Perciformes	Cichlidae	Labeotropheus				117	male/unsexed	5652											1													1							commercial	7020	0.5625	82805	3.3	0.4	69278	1.4 - 4.4 years	120179					13	59153			5652
52863	Schindleria pietschmanni	http://www.fishbase.org/summary/speciessummary.php?id=52863	Chordata	Actinopterygii	Perciformes	Schindleriidae	Schindleria																	1															1							0.5625	82805	3.0	0.3	69278	4.5 - 14 years	120179					10	59153			27116
3982	Sebastes miniatus	http://www.fishbase.org/summary/speciessummary.php?id=3982	Chordata	Actinopterygii	Scorpaeniformes	Sebastidae	Sebastes				910	male/unsexed	27436							6800	2850								1										1	minor commercial		yes		public aquariums	27436;4699;9183	0.5000	82805	3.9	0.7	69278	4.5 - 14 years	120179		6			63	59153	medium	80766	2850
11992	Xiphophorus evelynae	http://www.fishbase.org/summary/speciessummary.php?id=11992	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Xiphophorus				60													1												1	1							commercial	4537	0.5000	82805	3.1	0.4	69278	less than 15 months	120179					20	59153			26855
50813	Malacocottus aleuticus	http://www.fishbase.org/summary/speciessummary.php?id=50813	Chordata	Actinopterygii	Scorpaeniformes	Psychrolutidae	Malacocottus				98	male/unsexed	43939											1															1							0.5625	82805	3.3	0.1	69278		120179					10	59153			43939
3117	Ophidion welshi	http://www.fishbase.org/summary/speciessummary.php?id=3117	Chordata	Actinopterygii	Ophidiiformes	Ophidiidae	Ophidion				250	male/unsexed	7251															1											1	of no interest					34024																
13806	Physiculus nematopus	http://www.fishbase.org/summary/speciessummary.php?id=13806	Chordata	Actinopterygii	Gadiformes	Moridae	Physiculus				260	male/unsexed	9319															1											1							0.5000	82805	3.4	0.45	69278	1.4 - 4.4 years	120179					36	59153			9319
62887	Trichomycterus pauciradiatus	http://www.fishbase.org/summary/speciessummary.php?id=62887	Chordata	Actinopterygii	Siluriformes	Trichomycteridae	Trichomycterus	52	male/unsexed	57604																		1									1									0.5000	82805	3.1	0.4	69278	4.5 - 14 years	120179					10	59153			57604
8058	Gymnothorax griseus	http://www.fishbase.org/summary/speciessummary.php?id=8058	Chordata	Actinopterygii	Anguilliformes	Muraenidae	Gymnothorax				650	male/unsexed	9710																1										1							0.5000	82805	4.0	0.6	69278	1.4 - 4.4 years	120179					52	59153			35991
58764	Bathymicrops belyaninae	http://www.fishbase.org/summary/speciessummary.php?id=58764	Chordata	Actinopterygii	Aulopiformes	Ipnopidae	Bathymicrops																																1	of no interest					39810	0.5625	82805	3.8	0.5	69278	1.4 - 4.4 years	120179					46	59153			39810
5576	Chaetodon speculum	http://www.fishbase.org/summary/speciessummary.php?id=5576	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon				180	male/unsexed	9710																1										1	minor commercial				commercial	4859	0.5000	82805	3.6	0.6	69278	less than 15 months	120179					14	59153	unknown	80766	1602
6073	Petroscirtes breviceps	http://www.fishbase.org/summary/speciessummary.php?id=6073	Chordata	Actinopterygii	Perciformes	Blenniidae	Petroscirtes	110	male/unsexed	1602																			1						1				1					commercial		0.5005	82805	2.1	0.2	69278	less than 15 months	120179					25	59153			1602
22741	Ebomegobius goodi	http://www.fishbase.org/summary/speciessummary.php?id=22741	Chordata	Actinopterygii	Perciformes	Gobiidae	Ebomegobius	35	male/unsexed	5299																		1										1								1.0000	82805	3.2	0.3	69278	less than 15 months	120179					10	59153	very high	80766	5299
63565	Hemigrammus taphorni	http://www.fishbase.org/summary/speciessummary.php?id=63565	Chordata	Actinopterygii	Characiformes	Characidae	Hemigrammus	42	male/unsexed	72397														1													1									0.5000	82805	3.0	0.4	69278		120179					10	59153			72397
5382	Trachurus capensis	http://www.fishbase.org/summary/speciessummary.php?id=5382	Chordata	Actinopterygii	Perciformes	Carangidae	Trachurus							600	male/unsexed	3166							1			1													1	highly commercial					4931	0.5001	82805	3.5	0.50	69278	1.4 - 4.4 years	120179	0.11-0.42				60	59153	low	80766	7097
13124	Chalceus erythrurus	http://www.fishbase.org/summary/speciessummary.php?id=13124	Chordata	Actinopterygii	Characiformes	Characidae	Chalceus	214	male/unsexed	38376													1														1							commercial	9235	0.5039	82805	3.0	0.4	69278		120179					16	59153			6329
13194	Mobula tarapacana	http://www.fishbase.org/summary/speciessummary.php?id=13194	Chordata	Elasmobranchii	Rajiformes	Myliobatidae	Mobula													350000	50641								1						1				1	subsistence fisheries					9256	0.5005	82805	3.8	0.59	69278	more than 14 years	120179				1	53	59153	medium	80766	9256
11262	Xenocharax spilurus	http://www.fishbase.org/summary/speciessummary.php?id=11262	Chordata	Actinopterygii	Characiformes	Citharinidae	Xenocharax				260	male/unsexed	7094										1														1									0.7500	82805	2.9	0.3	69278	less than 15 months	120179					18	59153	unknown	80766	7094
60537	Callionymus afilum	http://www.fishbase.org/summary/speciessummary.php?id=60537	Chordata	Actinopterygii	Perciformes	Callionymidae	Callionymus																					1											1							0.5000	82805	3.2	0.4	69278	less than 15 months	120179					20	59153			75992
59885	Simpsonichthys adornatus	http://www.fishbase.org/summary/speciessummary.php?id=59885	Chordata	Actinopterygii	Cyprinodontiformes	Rivulidae	Simpsonichthys	39.5															1														1									0.5000	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			44211
1568	Clupeichthys bleekeri	http://www.fishbase.org/summary/speciessummary.php?id=1568	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Clupeichthys	60	male/unsexed	188													1														1			subsistence fisheries					171	0.5625	82805	3.0	0.4	69278	less than 15 months	120179					10	59153	low	80766	188
51505	Aspasmogaster tasmaniensis	http://www.fishbase.org/summary/speciessummary.php?id=51505	Chordata	Actinopterygii	Gobiesociformes	Gobiesocidae	Aspasmogaster				80	male/unsexed	9002															1											1							0.5625	82805	3.3	0.3	69278	1.4 - 4.4 years	120179					33	59153			9002
52841	Thaumatichthys pagidostomus	http://www.fishbase.org/summary/speciessummary.php?id=52841	Chordata	Actinopterygii	Lophiiformes	Thaumatichthyidae	Thaumatichthys				85	male/unsexed	557																										1							0.6289	82805	3.9	0.6	69278		120179					10	59153			557
13109	Corydoras agassizii	http://www.fishbase.org/summary/speciessummary.php?id=13109	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Corydoras	52	male/unsexed	37395																		1									1							commercial	1672	0.5000	82805	3.0	0.3	69278	less than 15 months	120179					10	59153			26041
47942	Gymnotus pedanopterus	http://www.fishbase.org/summary/speciessummary.php?id=47942	Chordata	Actinopterygii	Gymnotiformes	Gymnotidae	Gymnotus				281	male/unsexed	26457											1													1									0.5000	82805	3.3	0.4	69278	less than 15 months	120179					25	59153			26457
22976	Nemacheilus lactogeneus	http://www.fishbase.org/summary/speciessummary.php?id=22976	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Nemacheilus	55	male/unsexed	7050														1													1									0.5000	82805	2.8	0.3	69278	less than 15 months	120179					14	59153			2091
57931	Varicus bucca	http://www.fishbase.org/summary/speciessummary.php?id=57931	Chordata	Actinopterygii	Perciformes	Gobiidae	Varicus																					1											1							0.7500	82805	3.2	0.3	69278	less than 15 months	120179					11	59153			26938
26715	Mystus mysticetus	http://www.fishbase.org/summary/speciessummary.php?id=26715	Chordata	Actinopterygii	Siluriformes	Bagridae	Mystus	130	male/unsexed	27732																		1					1				1			commercial					12693	0.5000	82805	3.1	0.42	69278	1.4 - 4.4 years	120179					28	59153	unknown	80766	12693
56070	Triplophysa pappenheimi	http://www.fishbase.org/summary/speciessummary.php?id=56070	Chordata	Actinopterygii	Cypriniformes	Balitoridae	Triplophysa				180	male/unsexed	51717											1													1									0.5000	82805	3.1	0.4	69278	1.4 - 4.4 years	120179					29	59153			33800
53072	Characidium sanctjohanni	http://www.fishbase.org/summary/speciessummary.php?id=53072	Chordata	Actinopterygii	Characiformes	Crenuchidae	Characidium	47	male/unsexed	37059														1													1									0.5000	82805	3.4	0.3	69278	less than 15 months	120179					10	59153			13683
53373	Serrasalmus eigenmanni	http://www.fishbase.org/summary/speciessummary.php?id=53373	Chordata	Actinopterygii	Characiformes	Characidae	Serrasalmus	180	male/unsexed	39031														1													1									0.5000	82805	3.7	0.6	69278	less than 15 months	120179					28	59153			28768
1827	Merluccius angustimanus	http://www.fishbase.org/summary/speciessummary.php?id=1827	Chordata	Actinopterygii	Gadiformes	Merlucciidae	Merluccius				400	male/unsexed	1371															1								1			1	minor commercial					171	0.5000	82805	4.0	0.5	69278	1.4 - 4.4 years	120179	0.34-0.35	3			33	59153	high	80766	1371
52713	Characidium gomesi	http://www.fishbase.org/summary/speciessummary.php?id=52713	Chordata	Actinopterygii	Characiformes	Crenuchidae	Characidium	65	male/unsexed	37059														1													1									0.5000	82805	3.5	0.5	69278		120179					10	59153			26681
54004	Atelomycterus fasciatus	http://www.fishbase.org/summary/speciessummary.php?id=54004	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Atelomycterus				450	male/unsexed	11146															1											1							0.5156	82805	4.0	0.5	69278	4.5 - 14 years	120179					37	59153			11146
23923	Stlengis osensis	http://www.fishbase.org/summary/speciessummary.php?id=23923	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Stlengis	40	male/unsexed	559																													1							0.6250	82805	3.2	0.3	69278	less than 15 months	120179					20	59153			559
23448	Schizodon fasciatus	http://www.fishbase.org/summary/speciessummary.php?id=23448	Chordata	Actinopterygii	Characiformes	Anostomidae	Schizodon				400	male/unsexed	2060											1									1				1			commercial				commercial	2060;2060	0.5000	82805	2.5	0.20	69278	1.4 - 4.4 years	120179					36	59153	unknown	80766	36801
47696	Polyipnus clarus	http://www.fishbase.org/summary/speciessummary.php?id=47696	Chordata	Actinopterygii	Stomiiformes	Sternoptychidae	Polyipnus	60	male/unsexed	26382																													1							0.5000	82805	3.2	0.3	69278	1.4 - 4.4 years	120179					19	59153			26382
2674	Coregonus nasus	http://www.fishbase.org/summary/speciessummary.php?id=2674	Chordata	Actinopterygii	Salmoniformes	Salmonidae	Coregonus				710	male/unsexed	5723							16000	1998							1		1							1	1	1	commercial		yes			9707;4699	0.5000	82805	3.5	0.1	69278	4.5 - 14 years	120179	0.10-0.30	7	15	10,000	65	59153	very high	80766	3814
12449	Chrysiptera sinclairi	http://www.fishbase.org/summary/speciessummary.php?id=12449	Chordata	Actinopterygii	Perciformes	Pomacentridae	Chrysiptera	50	male/unsexed	7247																			1							1			1							0.5000	82805	2.7	0.31	69278	less than 15 months	120179					12	59153			84037
2827	Notropis baileyi	http://www.fishbase.org/summary/speciessummary.php?id=2827	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Notropis				90	male/unsexed	5723											1													1									0.5000	82805	2.8	0.3	69278	1.4 - 4.4 years	120179					17	59153			5723
52172	Coelorinchus velifer	http://www.fishbase.org/summary/speciessummary.php?id=52172	Chordata	Actinopterygii	Gadiformes	Macrouridae	Coelorinchus																																1							0.5000	82805	3.6	0.5	69278	1.4 - 4.4 years	120179					57	59153			1371
4204	Liparis greeni	http://www.fishbase.org/summary/speciessummary.php?id=4204	Chordata	Actinopterygii	Scorpaeniformes	Liparidae	Liparis				310	male/unsexed	2850															1											1					public aquariums		0.7500	82805	3.6	0.6	69278	1.4 - 4.4 years	120179					32	59153			43939
5191	Spratellicypris palata	http://www.fishbase.org/summary/speciessummary.php?id=5191	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Spratellicypris				140	male/unsexed	2929															1									1			commercial					280	0.5000	82805	2.9	0.3	69278	less than 15 months	120179					24	59153	unknown	80766	94476
27278	Ecsenius oculatus	http://www.fishbase.org/summary/speciessummary.php?id=27278	Chordata	Actinopterygii	Perciformes	Blenniidae	Ecsenius	47	male/unsexed	5296																			1										1							0.5000	82805	2.0	0.00	69278	less than 15 months	120179					11	59153			5296
59111	Searsioides multispinus	http://www.fishbase.org/summary/speciessummary.php?id=59111	Chordata	Actinopterygii	Osmeriformes	Platytroctidae	Searsioides	118	male/unsexed	10887															1														1							0.7500	82805	3.2	0.4	69278	less than 15 months	120179					10	59153			10887
24083	Osteochilichthys brevidorsalis	http://www.fishbase.org/summary/speciessummary.php?id=24083	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Osteochilichthys				150	male/unsexed	4832											1													1			of no interest					4832	0.7500	82805				less than 15 months	120179					25	59153			4832
1646	Neoopisthopterus cubanus	http://www.fishbase.org/summary/speciessummary.php?id=1646	Chordata	Actinopterygii	Clupeiformes	Clupeidae	Neoopisthopterus				150	male/unsexed	37032										1			1													1	of no interest			usually		171;26340	0.7500	82805	3.4	0.5	69278	less than 15 months	120179					14	59153			188
4059	Clinocottus globiceps	http://www.fishbase.org/summary/speciessummary.php?id=4059	Chordata	Actinopterygii	Scorpaeniformes	Cottidae	Clinocottus				190	male/unsexed	2850															1								1			1							0.5312	82805	3.1	0.26	69278	1.4 - 4.4 years	120179					35	59153			2850
58652	Stenogobius zurstrassenii	http://www.fishbase.org/summary/speciessummary.php?id=58652	Chordata	Actinopterygii	Perciformes	Gobiidae	Stenogobius	53.3																				1									1									0.5000	82805	3.4	0.5	69278	less than 15 months	120179					12	59153			34009
14319	Neosebastes thetidis	http://www.fishbase.org/summary/speciessummary.php?id=14319	Chordata	Actinopterygii	Scorpaeniformes	Neosebastidae	Neosebastes				350	male/unsexed	33839															1											1							0.5002	82805	3.7	0.6	69278		120179					24	59153			54394
54599	Rhinogobius lanyuensis	http://www.fishbase.org/summary/speciessummary.php?id=54599	Chordata	Actinopterygii	Perciformes	Gobiidae	Rhinogobius	67	male/unsexed	33066														1													1									0.5000	82805	3.3	0.4	69278	less than 15 months	120179					15	59153			33066
27117	Hypsibarbus lagleri	http://www.fishbase.org/summary/speciessummary.php?id=27117	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Hypsibarbus	400	male/unsexed	30857														1									1				1			commercial					12693	0.5005	82805	2.8	0.28	69278	4.5 - 14 years	120179					54	59153	unknown	80766	12693
60494	Urophycis mystacea	http://www.fishbase.org/summary/speciessummary.php?id=60494	Chordata	Actinopterygii	Gadiformes	Phycidae	Urophycis				570	male/unsexed	47377															1											1	of no interest						0.5044	82805	4.0	0.61	69278	4.5 - 14 years	120179					62	59153			47377
16793	Pyramodon punctatus	http://www.fishbase.org/summary/speciessummary.php?id=16793	Chordata	Actinopterygii	Ophidiiformes	Carapidae	Pyramodon				290	male/unsexed	4104											1															1	of no interest					34024	0.5625	82805	3.7	0.5	69278		120179					15	59153			34024
62923	Allocareproctus tanix	http://www.fishbase.org/summary/speciessummary.php?id=62923	Chordata	Actinopterygii	Scorpaeniformes	Liparidae	Allocareproctus	77.6																															1							0.5312	82805	3.3	0.6	69278	less than 15 months	120179					13	59153			57077
12431	Chromis scotochiloptera	http://www.fishbase.org/summary/speciessummary.php?id=12431	Chordata	Actinopterygii	Perciformes	Pomacentridae	Chromis				160	male/unsexed	9710																1							1			1							0.5000	82805	3.4	0.45	69278	less than 15 months	120179					26	59153			7247
58105	Doras eigenmanni	http://www.fishbase.org/summary/speciessummary.php?id=58105	Chordata	Actinopterygii	Siluriformes	Doradidae	Doras	97	male/unsexed	37054																		1									1									0.5625	82805	2.8	0.4	69278	less than 15 months	120179					20	59153			6868
8321	Pennahia macrocephalus	http://www.fishbase.org/summary/speciessummary.php?id=8321	Chordata	Actinopterygii	Perciformes	Sciaenidae	Pennahia	230	male/unsexed	9772																		1											1	highly commercial					2113	0.5312	82805	4.1	0.64	69278	less than 15 months	120179					26	59153	medium	80766	559
53338	Serrapinnus kriegi	http://www.fishbase.org/summary/speciessummary.php?id=53338	Chordata	Actinopterygii	Characiformes	Characidae	Serrapinnus	24	male/unsexed	37055														1													1									0.5001	82805	2.8	0.5	69278	1.4 - 4.4 years	120179					10	59153			34064
10751	Bathyclupea elongata	http://www.fishbase.org/summary/speciessummary.php?id=10751	Chordata	Actinopterygii	Perciformes	Bathyclupeidae	Bathyclupea				178	male/unsexed	6646										1				1												1							0.5156	82805	3.4	0.4	69278		120179					10	59153			6646
5377	Hoplosternum littorale	http://www.fishbase.org/summary/speciessummary.php?id=5377	Chordata	Actinopterygii	Siluriformes	Callichthyidae	Hoplosternum				240	male/unsexed	51639															1									1			commercial	commercial			commercial	4537;11225;4537	0.6250	82805	2.7	0.0	69278	1.4 - 4.4 years	120179	0.6-1.3		4		14	59153	unknown	80766	26144
13499	Sicamugil hamiltonii	http://www.fishbase.org/summary/speciessummary.php?id=13499	Chordata	Actinopterygii	Mugiliformes	Mugilidae	Sicamugil				120	male/unsexed	4833										1														1			minor commercial					4833	0.7500	82805	2.7	0.2	69278	less than 15 months	120179					19	59153	medium	80766	4833
63639	Glyptothorax nieuwenhuisi	http://www.fishbase.org/summary/speciessummary.php?id=63639	Chordata	Actinopterygii	Siluriformes	Sisoridae	Glyptothorax																					1									1									0.5000	82805	3.1	0.4	69278	less than 15 months	120179					27	59153			58032
24117	Careproctus rhodomelas	http://www.fishbase.org/summary/speciessummary.php?id=24117	Chordata	Actinopterygii	Scorpaeniformes	Liparidae	Careproctus	120	male/unsexed	559																													1							0.5000	82805	3.2	0.5	69278	less than 15 months	120179					21	59153			559
46273	Mastacembelus traversi	http://www.fishbase.org/summary/speciessummary.php?id=46273	Chordata	Actinopterygii	Synbranchiformes	Mastacembelidae	Mastacembelus				342	male/unsexed	26083											1													1									0.5000	82805	3.8	0.6	69278	1.4 - 4.4 years	120179					38	59153			26083
12932	Agonopsis chiloensis	http://www.fishbase.org/summary/speciessummary.php?id=12932	Chordata	Actinopterygii	Scorpaeniformes	Agonidae	Agonopsis	125	male/unsexed	27363																		1											1	of no interest						0.5625	82805	3.2	0.5	69278	less than 15 months	120179					29	59153			27363
48697	Trichomycterus itatiayae	http://www.fishbase.org/summary/speciessummary.php?id=48697	Chordata	Actinopterygii	Siluriformes	Trichomycteridae	Trichomycterus	57	male/unsexed	51738														1													1									0.5000	82805	3.3	0.4	69278	4.5 - 14 years	120179					14	59153			6868
11382	Barbus kissiensis	http://www.fishbase.org/summary/speciessummary.php?id=11382	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus	17	male/unsexed	2801														1													1									0.5000	82805	3.0	0.3	69278	less than 15 months	120179					10	59153			2801
