fb_taxon_id	taxon_name	taxon_uri	phylum	class	order	family	genus	sl_mm	sl_sex	sl_ref	tl_mm	tl_sex	tl_ref	fl_mm	fl_sex	fl_ref	dw_mm	dw_sex	dw_ref	max_weight_g	max_weight_ref	benthic	pelagic	benthopelagic	bathypelagic	pelagic-neritic	pelagic-oceanic	demersal	reef-associated	anadromous	catadromous	amphidromous	potamodromous	limnodromous	oceanodromous	non-migratory	freshwater	brackish	marine	use_fisheries	use_aquaculture	use_gamefish	use_bait	use_aquarium	use_ref	phylo_div	phylo_div_ref	troph_level	troph_level_se	troph_level_ref	resil	resil_ref	resil_K	resil_tm	resil_tmax	resil_fec	vulnerab	vulnerab_ref	price	price_ref	main_ref
6012	Ctenochaetus binotatus	http://www.fishbase.org/summary/speciessummary.php?id=6012	Chordata	Actinopterygii	Perciformes	Acanthuridae	Ctenochaetus				220	male/unsexed	5213																1										1					commercial	30573;27115	0.5020	82805	2.0	0.00	69278	less than 15 months	120179					23	59153			42056
23141	Hippocampus coronatus	http://www.fishbase.org/summary/speciessummary.php?id=23141	Chordata	Actinopterygii	Syngnathiformes	Syngnathidae	Hippocampus	108	male/unsexed	36318																		1								1			1							0.5000	82805	3.3	0.3	69278	less than 15 months	120179					13	59153			30915
58219	Pogonophryne cerebropogon	http://www.fishbase.org/summary/speciessummary.php?id=58219	Chordata	Actinopterygii	Perciformes	Artedidraconidae	Pogonophryne	250	male/unsexed	39349																													1							0.5000	82805	3.3	0.5	69278		120179					21	59153			39349
27029	Galeus longirostris	http://www.fishbase.org/summary/speciessummary.php?id=27029	Chordata	Elasmobranchii	Carcharhiniformes	Scyliorhinidae	Galeus				803	male/unsexed	12694																										1							0.5000	82805	4.1	0.2	69278	4.5 - 14 years	120179					58	59153			12694
7808	Chaetodon fremblii	http://www.fishbase.org/summary/speciessummary.php?id=7808	Chordata	Actinopterygii	Perciformes	Chaetodontidae	Chaetodon				130	male/unsexed	9710																1							1			1					commercial	5358	0.5000	82805	3.0	0.2	69278	less than 15 months	120179					11	59153			3921
63880	Vanderhorstia nobilis	http://www.fishbase.org/summary/speciessummary.php?id=63880	Chordata	Actinopterygii	Perciformes	Gobiidae	Vanderhorstia																					1											1							0.5000	82805	3.3	0.3	69278	less than 15 months	120179					13	59153			75784
63213	Apistogramma huascar	http://www.fishbase.org/summary/speciessummary.php?id=63213	Chordata	Actinopterygii	Perciformes	Cichlidae	Apistogramma	41.3															1														1			of no interest						0.5000	82805	3.3	0.4	69278	1.4 - 4.4 years	120179					10	59153			57916
11401	Barbus malacanthus	http://www.fishbase.org/summary/speciessummary.php?id=11401	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Barbus				150	male/unsexed	2801											1													1									0.5000	82805	3.1	0.5	69278	less than 15 months	120179					25	59153			2801
52477	Ophiclinops varius	http://www.fishbase.org/summary/speciessummary.php?id=52477	Chordata	Actinopterygii	Perciformes	Clinidae	Ophiclinops				50	male/unsexed	9002															1											1							0.6250	82805	3.2	0.4	69278		120179					10	59153			9002
47230	Poeciliopsis catemaco	http://www.fishbase.org/summary/speciessummary.php?id=47230	Chordata	Actinopterygii	Cyprinodontiformes	Poeciliidae	Poeciliopsis				40	male/unsexed	26130											1													1							commercial	26130	0.5000	82805				less than 15 months	120179					21	59153			26130
26605	Marilyna meraukensis	http://www.fishbase.org/summary/speciessummary.php?id=26605	Chordata	Actinopterygii	Tetraodontiformes	Tetraodontidae	Marilyna	190	male/unsexed	44894																		1										1								0.6250	82805	3.4	0.3	69278	less than 15 months	120179					21	59153			2847
23651	Apogon nitidus	http://www.fishbase.org/summary/speciessummary.php?id=23651	Chordata	Actinopterygii	Perciformes	Apogonidae	Apogon				80	male/unsexed	4329																1										1							0.5000	82805	3.4	0.5	69278	less than 15 months	120179					10	59153			4329
15811	Narcetes lloydi	http://www.fishbase.org/summary/speciessummary.php?id=15811	Chordata	Actinopterygii	Osmeriformes	Alepocephalidae	Narcetes	500	male/unsexed	2711															1														1							0.5312	82805	3.5	0.5	69278	4.5 - 14 years	120179					60	59153			2711
63090	Atractodenchelys robinsorum	http://www.fishbase.org/summary/speciessummary.php?id=63090	Chordata	Actinopterygii	Anguilliformes	Synaphobranchidae	Atractodenchelys																	1															1							0.7500	82805	3.8	0.5	69278		120179					45	59153			56787
9365	Pareutropius longifilis	http://www.fishbase.org/summary/speciessummary.php?id=9365	Chordata	Actinopterygii	Siluriformes	Schilbeidae	Pareutropius				102	male/unsexed	3570															1									1									0.5625	82805	3.2	0.5	69278	4.5 - 14 years	120179					15	59153	unknown	80766	33556
16841	Halieutopsis micropa	http://www.fishbase.org/summary/speciessummary.php?id=16841	Chordata	Actinopterygii	Lophiiformes	Ogcocephalidae	Halieutopsis	84	male/unsexed	40825																													1							0.5078	82805	3.3	0.6	69278	1.4 - 4.4 years	120179					32	59153			84011
52482	Sticharium clarkae	http://www.fishbase.org/summary/speciessummary.php?id=52482	Chordata	Actinopterygii	Perciformes	Clinidae	Sticharium				80	male/unsexed	9002															1											1							0.7500	82805	3.3	0.4	69278		120179					10	59153			9002
55273	Cirrhinus inornatus	http://www.fishbase.org/summary/speciessummary.php?id=55273	Chordata	Actinopterygii	Cypriniformes	Cyprinidae	Cirrhinus	129	male/unsexed	33488														1													1									0.5005	82805	2.6	0.3	69278	less than 15 months	120179					28	59153			33488
112	Sarda australis	http://www.fishbase.org/summary/speciessummary.php?id=112	Chordata	Actinopterygii	Perciformes	Scombridae	Sarda							1800	male/unsexed	40637				9400	168		1			1									1				1	minor commercial		yes	usually		171;4537;171	0.5312	82805	4.5	0.80	69278	4.5 - 14 years	120179					66	59153	very high	80766	168
